seed,initial-weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
93,34,5,0,14.164949217449209,12.5,7.783040626040624,2.3636363636363638,53.0,50.63636363636363,39.0,5.0,2.6,2.8
21,34,5,0,13.999504287379288,12.333333333333334,7.7879560556110565,2.2666666666666666,43.0,40.733333333333334,12.0,6.2,4.6,2.2666666666666666
68,34,5,0,13.904097152847156,12.0,7.559143115218108,2.25,47.0,44.75,25.0,8.6,6.4,3.4
94,34,5,0,14.45208777333777,12.0,8.509996447996452,2.0,53.0,51.0,22.0,4.0,3.0,2.6
45,34,5,0,14.631749888999892,11.0,8.789330093240086,2.0,49.0,47.0,26.0,4.6,4.2,2.6666666666666665
22,34,5,0,13.999058288933291,12.0,7.824133787740049,1.5333333333333334,50.0,48.46666666666667,25.0,7.4,3.3,1.5333333333333334
69,34,5,0,13.8200897019647,11.5,7.761124650349655,2.3,47.0,44.7,5.0,5.4,3.0,2.466666666666667
95,34,5,0,13.884385142635137,11.0,7.7805849259074344,2.5454545454545454,54.0,51.45454545454545,41.0,7.2,4.7,3.466666666666667
23,34,5,0,14.30447115384615,12.0,8.133666987179486,2.142857142857143,50.0,47.857142857142854,49.0,4.6,4.8,2.466666666666667
46,34,5,0,14.608907079032079,11.0,8.814607124403393,2.25,50.0,47.75,13.0,5.4,4.1,3.4
70,34,5,0,13.813318792318794,11.0,7.678879171939172,2.0,54.0,52.0,27.0,5.8,4.8,3.6666666666666665
96,34,5,0,14.297844918969922,12.0,8.181724064824072,1.8,54.0,52.2,8.0,5.0,3.7,2.8
24,34,5,0,13.552296037296026,11.0,7.414209090909087,1.75,49.0,47.25,9.0,5.4,4.5,4.466666666666667
71,34,5,0,14.147681832056834,11.0,8.077234231046729,2.0,49.0,47.0,27.0,5.4,4.0,3.6666666666666665
47,34,5,0,13.887813755688754,11.5,7.624236445221446,2.2,45.0,42.8,9.0,8.0,4.6,2.2
97,34,5,0,13.99345637695638,12.0,7.917228746253744,2.2666666666666666,52.0,49.733333333333334,28.0,3.8,5.5,2.2666666666666666
25,34,5,0,14.444146603396607,11.5,8.486898982683977,1.8571428571428572,48.0,46.142857142857146,29.0,2.4,2.8,2.6666666666666665
48,34,5,0,13.921550713175714,12.0,7.526291170079924,2.5,46.0,43.5,16.0,3.2,2.7,3.4
72,34,5,0,13.908223970473966,11.0,7.811005250582748,1.75,53.0,51.25,13.0,6.4,1.8,3.533333333333333
98,34,5,0,14.345716033966038,11.5,8.18114137112887,2.0714285714285716,45.0,42.92857142857143,17.0,5.2,4.4,2.2666666666666666
49,34,5,0,14.050970501720506,12.0,7.91204722693973,2.6666666666666665,44.0,41.333333333333336,15.0,5.6,2.8,3.0
99,34,5,0,14.797938159063156,11.0,9.051044661310891,2.1333333333333333,44.0,41.86666666666667,30.0,10.2,3.5,2.1333333333333333
73,34,5,0,14.165948523698525,11.0,8.330560151515146,2.5,52.0,49.5,10.0,7.6,2.8,2.6666666666666665
50,34,5,0,13.97505315517816,11.5,7.829538151431902,2.5555555555555554,56.0,53.44444444444444,17.0,6.4,3.8,3.933333333333333
74,34,5,0,14.028716880341882,11.0,8.011452158119647,2.375,41.0,38.625,12.0,3.8,4.9,2.8666666666666667
100,34,5,0,14.078452214452216,12.0,7.83576680652681,2.2142857142857144,51.0,48.785714285714285,16.0,5.0,4.1,2.466666666666667
75,34,5,0,14.23878114940615,10.5,8.62568976093351,2.466666666666667,60.0,57.53333333333333,23.0,6.8,4.1,2.466666666666667
